appName,coreF,memF,argNo,time/us,power/W,GFLOPS,GFLOPS/W
conv-fft,1000,2100,input00,81650.0,88.892300000000006,355.0646570483772,3.9943241096065374
conv-fft,1000,2500,input00,72072.0,94.234750000000005,402.25093306693304,4.2686050853526218
conv-fft,1000,3000,input00,65332.0,99.952149999999989,443.74929969999386,4.439617353903782
conv-fft,1000,3500,input00,62171.0,103.53920000000001,466.3111297550305,4.5037157883683712
conv-fft,1000,3800,input00,60954.0,105.73119999999999,475.6214399055025,4.4984019845183116
conv-fft,1126,2100,input00,79206.0,93.83142500000001,366.0206202560412,3.9008319468242236
conv-fft,1126,2500,input00,69981.0,99.660999999999987,414.2700054014661,4.1567915774622586
conv-fft,1126,3000,input00,63304.0,105.61937499999999,457.9652035890307,4.3359961521172679
conv-fft,1126,3500,input00,59914.0,110.32397499999999,483.8773783756718,4.38596758660728
conv-fft,1126,3800,input00,58312.0,112.28779999999999,497.17089532171764,4.4276483760632734
conv-fft,1300,2100,input00,77147.0,119.29605000000001,375.78945711434017,3.150057836066996
conv-fft,1300,2500,input00,67995.0,127.81077500000001,426.3700161482462,3.3359473498869416
conv-fft,1300,3000,input00,61495.0,135.27132499999999,471.43717778681196,3.4851227914475738
conv-fft,1300,3500,input00,57948.0,141.1891,500.2938711948644,3.5434312648417223
conv-fft,1300,3800,input00,56295.0,144.73255,514.9840882494004,3.5581773985838043
conv-fft,600,2100,input00,96449.0,79.965999999999994,300.5840314363031,3.7588979245717322
conv-fft,600,2500,input00,92144.0,82.817599999999999,314.6274228164612,3.799040576114995
conv-fft,600,3000,input00,92144.0,85.113875000000007,314.6274228164612,3.6965468064573628
conv-fft,600,3500,input00,92622.0,87.545775000000006,313.00370590140574,3.5753148098969452
conv-fft,600,3800,input00,92643.0,89.099875000000011,312.9327552864221,3.512157062918686
conv-fft,800,2100,input00,87141.0,84.796850000000006,332.69103232691845,3.9233890448397366
conv-fft,800,2500,input00,77178.0,90.018475000000009,375.63851418798106,4.1729046641590077
conv-fft,800,3000,input00,71541.0,94.241324999999989,405.2365671153604,4.2999880054250132
conv-fft,800,3500,input00,70917.0,96.834050000000005,408.802251195059,4.2216787503472073
conv-fft,800,3800,input00,70959.0,98.225674999999995,408.56028478417113,4.1594041963485733
conv-sgemm,1000,2100,input00,56732.0,123.04034999999999,511.01722569273073,4.1532491226880515
conv-sgemm,1000,2500,input00,52083.0,130.62627500000002,556.6313240020736,4.261250839481364
conv-sgemm,1000,3000,input00,49160.0,138.33260000000001,589.7280156224573,4.2631166884917748
conv-sgemm,1000,3500,input00,47444.0,141.558975,611.0578629120647,4.3166310218908031
conv-sgemm,1000,3800,input00,46498.0,145.2518,623.4898113467245,4.2924756274739764
conv-sgemm,1126,2100,input00,57574.0,128.00965000000002,503.543774064682,3.9336391753643722
conv-sgemm,1126,2500,input00,52686.0,136.2636,550.2605862658012,4.0382067277380109
conv-sgemm,1126,3000,input00,49680.0,143.56525000000002,583.5553391304347,4.0647394765128375
conv-sgemm,1126,3500,input00,48276.0,147.16839999999999,600.5267472035794,4.0805413879853241
conv-sgemm,1126,3800,input00,47018.0,151.008025,616.5942670466629,4.083188738126089
conv-sgemm,1300,2100,input00,56867.0,167.52884999999998,509.8040910897357,3.0430823770934725
conv-sgemm,1300,2500,input00,53008.0,176.68497500000001,546.9179981889527,3.0954414668760184
conv-sgemm,1300,3000,input00,49514.0,186.53620000000001,585.5117592600072,3.1388639806107728
conv-sgemm,1300,3500,input00,47985.0,190.705275,604.1685786808378,3.1680748142957125
conv-sgemm,1300,3800,input00,47195.0,192.67959999999999,614.2817935798283,3.1880997966563576
conv-sgemm,600,2100,input00,68613.0,108.59100000000001,422.52968457872413,3.8910193715752142
conv-sgemm,600,2500,input00,66060.0,112.29815000000001,438.8590561307902,3.9079811744965536
conv-sgemm,600,3000,input00,66092.0,114.65762499999998,438.6465721721237,3.825707816397939
conv-sgemm,600,3500,input00,67007.0,116.55057500000001,432.65672613309056,3.7121801083614603
conv-sgemm,600,3800,input00,67038.0,117.98209999999999,432.45665515081,3.6654429371134265
conv-sgemm,800,2100,input00,58156.0,119.50954999999999,498.5045265836715,4.1712526453632499
conv-sgemm,800,2500,input00,54277.0,125.845675,534.1310177054738,4.2443335275961918
conv-sgemm,800,3000,input00,51448.0,132.03902499999998,563.5015792256258,4.2676896411922609
